car,price,link
Land Rover Range Rover Sport,"247,800",https://www.carlist.my/used-cars/2014-land-rover-range-rover-3-0-a-sport-supercharged-v6-hose/7628665
Honda Accord,"69,999",https://www.carlist.my/used-cars/2014-honda-accord-2-0-i-vtec-vti-l-sedan-1-owner-tip-top-leather-seat-nice-number-puchong-dealer/7773307
Kia Cerato,"72,800",https://www.carlist.my/used-cars/2015-kia-cerato-1-6-a-koup-t-gdi-coupe-limidet-stock-204hp/7870380
Toyota Vellfire,"241,999",https://www.carlist.my/recon-cars/2016-toyota-vellfire-3-5-zag-full-spec-mpv/7883696
Audi Q3,"82,800",https://www.carlist.my/used-cars/2014-audi-q3-2-0-tfsi-quattro-s-line/7880579
Mercedes-Benz C250,"83,900",https://www.carlist.my/used-cars/2014-mercedes-benz-c250-1-8-amg-a-facelift-full-spec/7875599
Mercedes-Benz E250 CGI,"82,999",https://www.carlist.my/used-cars/2012-mercedes-benz-e250-cgi-1-8-avantgarde-sedan-7-speed-low-mileage-white-leather-seat-sun-roof-moon-roof-power-boot/7716258
Porsche Cayman,"243,888",https://www.carlist.my/used-cars/2014-porsche-cayman-2-7-coupe-pdk-come-with-1-year-warranty-and-come-with-nice-number/7830184
Lexus RX350,"233,888",https://www.carlist.my/used-cars/2016-lexus-rx350-3-5-f-sport-suv-camera-360-sunroof-warranty/7849200
,"95,888",https://www.carlist.my/used-cars/2011-infiniti-fx37-3-7-suv-vip-num-32-p-boot-sunroof-warranty/7849143
Toyota Alphard,"96,800",https://www.carlist.my/used-cars/toyota-alphard-2-4-a-mpv-king-8-seater-2-power-door-tiptop-condition/7474885
